#Sumatra CSVExporter
#Sun Feb 09 00:55:17 CET 2014
t,px,py,vx,vy,ax,ay,rot
0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.6700,0.0000
0.0100,2.0000,0.0001,0.0000,0.0264,0.0000,2.6196,-0.0000
0.0200,2.0000,0.0005,0.0000,0.0524,0.0000,2.5692,-0.0002
0.0300,2.0000,0.0012,0.0000,0.0778,0.0000,2.5189,-0.0004
0.0400,2.0000,0.0021,0.0000,0.1028,0.0000,2.4685,-0.0007
0.0500,2.0000,0.0032,0.0000,0.1272,0.0000,2.4181,-0.0012
0.0600,2.0000,0.0046,0.0000,0.1511,0.0000,2.3677,-0.0017
0.0700,2.0000,0.0063,0.0000,0.1746,0.0000,2.3173,-0.0023
0.0800,2.0000,0.0081,0.0000,0.1975,0.0000,2.2670,-0.0030
0.0900,2.0000,0.0102,0.0000,0.2199,0.0000,2.2166,-0.0037
0.1000,2.0000,0.0125,0.0000,0.2418,0.0000,2.1662,-0.0046
0.1100,2.0000,0.0150,0.0000,0.2632,0.0000,2.1158,-0.0056
0.1200,2.0000,0.0178,0.0000,0.2841,0.0000,2.0655,-0.0066
0.1300,2.0000,0.0207,0.0000,0.3045,0.0000,2.0151,-0.0078
0.1400,2.0000,0.0239,0.0000,0.3244,0.0000,1.9647,-0.0090
0.1500,2.0000,0.0272,0.0000,0.3438,0.0000,1.9143,-0.0103
0.1600,2.0000,0.0307,0.0000,0.3627,0.0000,1.8640,-0.0117
0.1700,2.0000,0.0345,0.0000,0.3811,0.0000,1.8136,-0.0131
0.1800,2.0000,0.0384,0.0000,0.3990,0.0000,1.7632,-0.0147
0.1900,2.0000,0.0424,0.0000,0.4164,0.0000,1.7128,-0.0164
0.2000,2.0000,0.0467,0.0000,0.4332,0.0000,1.6624,-0.0181
0.2100,2.0000,0.0511,0.0000,0.4496,0.0000,1.6121,-0.0199
0.2200,2.0000,0.0557,0.0000,0.4655,0.0000,1.5617,-0.0218
0.2300,2.0000,0.0604,0.0000,0.4808,0.0000,1.5113,-0.0238
0.2400,2.0000,0.0653,0.0000,0.4957,0.0000,1.4609,-0.0258
0.2500,2.0000,0.0703,0.0000,0.5101,0.0000,1.4106,-0.0279
0.2600,2.0000,0.0755,0.0000,0.5239,0.0000,1.3602,-0.0302
0.2700,2.0000,0.0808,0.0000,0.5373,0.0000,1.3098,-0.0324
0.2800,2.0000,0.0862,0.0000,0.5501,0.0000,1.2594,-0.0348
0.2900,2.0000,0.0918,0.0000,0.5625,0.0000,1.2091,-0.0373
0.3000,2.0000,0.0975,0.0000,0.5743,0.0000,1.1587,-0.0398
0.3100,2.0000,0.1033,0.0000,0.5856,0.0000,1.1083,-0.0424
0.3200,2.0000,0.1092,0.0000,0.5965,0.0000,1.0579,-0.0451
0.3300,2.0000,0.1152,0.0000,0.6068,0.0000,1.0075,-0.0478
0.3400,2.0000,0.1213,0.0000,0.6166,0.0000,0.9572,-0.0506
0.3500,2.0000,0.1275,0.0000,0.6259,0.0000,0.9068,-0.0535
0.3600,2.0000,0.1338,0.0000,0.6348,0.0000,0.8564,-0.0565
0.3700,2.0000,0.1402,0.0000,0.6431,0.0000,0.8060,-0.0596
0.3800,2.0000,0.1467,0.0000,0.6509,0.0000,0.7557,-0.0627
0.3900,2.0000,0.1532,0.0000,0.6582,0.0000,0.7053,-0.0659
0.4000,2.0000,0.1599,0.0000,0.6650,0.0000,0.6549,-0.0691
0.4100,2.0000,0.1665,0.0000,0.6713,0.0000,0.6045,-0.0725
0.4200,2.0000,0.1733,0.0000,0.6771,0.0000,0.5541,-0.0759
0.4300,2.0000,0.1801,0.0000,0.6824,0.0000,0.5038,-0.0793
0.4400,2.0000,0.1869,0.0000,0.6871,0.0000,0.4534,-0.0829
0.4500,2.0000,0.1938,0.0000,0.6914,0.0000,0.4030,-0.0865
0.4600,2.0000,0.2008,0.0000,0.6952,0.0000,0.3526,-0.0902
0.4700,2.0000,0.2077,0.0000,0.6985,0.0000,0.3023,-0.0939
0.4800,2.0000,0.2147,0.0000,0.7012,0.0000,0.2519,-0.0977
0.4900,2.0000,0.2218,0.0000,0.7035,0.0000,0.2015,-0.1016
0.5000,2.0000,0.2288,0.0000,0.7053,0.0000,0.1511,-0.1055
0.5100,2.0000,0.2359,0.0000,0.7065,0.0000,0.1008,-0.1095
0.5200,2.0000,0.2429,0.0000,0.7073,0.0000,0.0504,-0.1136
0.5300,2.0000,0.2500,0.0000,0.7075,0.0000,0.0000,-0.1177
0.5400,2.0000,0.2571,0.0000,0.7073,0.0000,-0.0504,-0.1219
0.5500,2.0000,0.2641,0.0000,0.7065,0.0000,-0.1008,-0.1262
0.5600,2.0000,0.2712,0.0000,0.7053,0.0000,-0.1511,-0.1305
