#Sumatra CSVExporter
#Sat Jun 18 11:43:50 CEST 2011
time,setx,sety,setv,actx,acty,actv
243841626250297,0.0,0.0,0,-0.0014798052,0.0033382943,1.6777816
243841639845741,0.0,0.0,0,-3.9862221E-4,1.0289186E-4,1.6867871
243841645307665,0.0,0.0,0,-3.9843805E-4,1.0360282E-4,1.6874114
243841670668187,0.0,0.0,0,0.0010372192,0.0018877976,1.6851345
243841673969086,0.0,0.0,0,0.0010396484,0.0018864609,1.6853669
243841683194262,0.0,0.0,0,0.0018416228,0.002436119,1.6824063
243841691102482,0.0,0.0,0,0.001843655,0.0024345813,1.6823465
243841709624558,0.0,0.0,0,-0.0011439049,-9.0054655E-4,1.677192
243841714147998,0.0,0.0,0,-0.0011442736,-9.000778E-4,1.6769327
243841736555701,0.0,0.0,0,1.6351574E-4,-0.0033362235,1.6811454
243841738144558,0.0,0.0,0,1.6281178E-4,-0.003336258,1.6811315
243841760750818,0.0,0.0,0,1.549345E-4,-0.0033366333,1.6809777
243841762718553,0.0,0.0,0,-0.0011923792,0.001190317,1.6794914
243841784154141,0.0,0.0,0,-0.0011898963,0.0011927992,1.6791041
243841789068616,0.0,0.0,0,-0.003856822,0.002352551,1.6800131
243841807602037,0.0,0.0,0,-0.0038526151,0.0023594338,1.6798267
243841815318995,0.0,0.0,0,-0.0032681355,0.0019750004,1.6845773
243841830763040,0.0,0.0,0,-0.0032644107,0.001981151,1.6850235
243841841944605,0.0,0.0,0,-0.0028102822,0.0053970376,1.6884261
243841853945114,0.0,0.0,0,-0.002801016,0.0054018525,1.6890976
243841868842116,0.0,0.0,0,-6.473629E-4,0.003709201,1.682045
243841876775459,0.0,0.0,0,-6.436793E-4,0.0037098418,1.6819421
243841894874488,0.0,0.0,0,-7.868705E-4,0.0024161893,1.6818763
243841899902423,0.0,0.0,0,-7.8535656E-4,0.0024166817,1.6818167
243841921064894,0.0,0.0,0,-0.0025992522,0.0015078759,1.6743563
243841926627311,0.0,0.0,0,-0.0025989695,0.0015083628,1.6741787
243841951115401,0.0,0.0,0,-0.002596482,0.0015126405,1.6725906
243841952683186,0.0,0.0,0,-8.0298365E-4,-9.298422E-4,1.6691797
243841970245707,0.0,0.0,0,-8.040614E-4,-9.289105E-4,1.6670705
243841974551140,0.0,0.0,0,-0.0027392944,-9.634935E-4,1.6731895
243842001357072,0.0,0.0,0,-5.621761E-4,-6.8161153E-4,1.6784263
243842013165103,0.0,0.0,0,-5.63116E-4,-6.8083534E-4,1.6785483
243842027691736,0.0,0.0,0,-0.0011980545,1.7769754E-4,1.6830465
243842037246354,0.0,0.0,0,-0.0011978439,1.7911138E-4,1.6834519
243842054063275,0.0,0.0,0,-6.280297E-4,-8.469654E-4,1.6854827
243842059652437,0.0,0.0,0,-6.287367E-4,-8.464407E-4,1.6858222
243842080581502,0.0,0.0,0,5.2516593E-4,0.0011918667,1.685523
243842083046034,0.0,0.0,0,5.256087E-4,0.0011916715,1.685649
243842106496767,0.0,0.0,0,5.291514E-4,0.0011901027,1.6866492
243842109227526,0.0,0.0,0,-0.0014027825,-1.2313193E-4,1.6801037
243842129887527,0.0,0.0,0,-0.0014030747,-1.1975606E-4,1.6799822
243842133946589,0.0,0.0,0,-0.0023462595,6.581519E-4,1.6833746
243842153224394,0.0,0.0,0,-0.0023447531,6.6349877E-4,1.6837825
243842160470084,0.0,0.0,0,3.0463867E-4,-6.170125E-4,1.684318
243842177387904,0.0,0.0,0,3.034587E-4,-6.175937E-4,1.6847092
243842191236609,0.0,0.0,0,0.006013168,-0.0014412652,1.683061
243842199780210,0.0,0.0,0,0.0060111335,-0.0014497251,1.6831743
243842213454671,0.0,0.0,0,0.0035702507,-0.0037307106,1.6868058
243842223219596,0.0,0.0,0,0.0035655443,-0.0037352091,1.6871852
243842239908469,0.0,0.0,0,0.002655775,-5.120528E-6,1.6802106
243842246124096,0.0,0.0,0,0.0026557713,-6.834307E-6,1.680038
243842266552719,0.0,0.0,0,5.036132E-4,0.0016134277,1.6835941
243842269461774,0.0,0.0,0,5.0425343E-4,0.0016132277,1.6836225
243842292574555,0.0,0.0,0,5.081649E-4,0.0016119998,1.6837987
243842316616500,0.0,0.0,0,5.121195E-4,0.0016107479,1.6839772
