#Sumatra CSVExporter
#Sun Feb 09 00:55:17 CET 2014
t,px,py,vx,vy,ax,ay,rot
0.7800,0.6698,0.0000,1.4177,0.0000,0.6650,0.0000,0.0000
0.7900,0.6840,0.0000,1.4242,0.0000,0.6354,0.0000,0.0000
0.8000,0.6983,0.0000,1.4304,0.0000,0.6059,0.0000,0.0000
0.8100,0.7126,0.0000,1.4363,0.0000,0.5763,0.0000,0.0000
0.8200,0.7270,0.0000,1.4420,0.0000,0.5468,0.0000,0.0000
0.8300,0.7414,0.0000,1.4473,0.0000,0.5172,0.0000,0.0000
0.8400,0.7559,0.0000,1.4523,0.0000,0.4877,0.0000,0.0000
0.8500,0.7705,0.0000,1.4570,0.0000,0.4581,0.0000,0.0000
0.8600,0.7851,0.0000,1.4615,0.0000,0.4285,0.0000,0.0000
0.8700,0.7997,0.0000,1.4656,0.0000,0.3990,0.0000,0.0000
0.8800,0.8144,0.0000,1.4694,0.0000,0.3694,0.0000,0.0000
0.8900,0.8291,0.0000,1.4730,0.0000,0.3399,0.0000,0.0000
0.9000,0.8439,0.0000,1.4762,0.0000,0.3103,0.0000,0.0000
0.9100,0.8586,0.0000,1.4792,0.0000,0.2808,0.0000,0.0000
0.9200,0.8734,0.0000,1.4819,0.0000,0.2512,0.0000,0.0000
0.9300,0.8883,0.0000,1.4842,0.0000,0.2217,0.0000,0.0000
0.9400,0.9031,0.0000,1.4863,0.0000,0.1921,0.0000,0.0000
0.9500,0.9180,0.0000,1.4881,0.0000,0.1626,0.0000,0.0000
0.9600,0.9329,0.0000,1.4895,0.0000,0.1330,0.0000,0.0000
0.9700,0.9478,0.0000,1.4907,0.0000,0.1034,0.0000,0.0000
0.9800,0.9627,0.0000,1.4916,0.0000,0.0739,0.0000,0.0000
0.9900,0.9776,0.0000,1.4922,0.0000,0.0443,0.0000,0.0000
1.0000,0.9925,0.0000,1.4925,0.0000,0.0148,0.0000,0.0000
1.0100,1.0075,0.0000,1.4925,0.0000,-0.0148,0.0000,0.0000
1.0200,1.0224,0.0000,1.4922,0.0000,-0.0443,0.0000,0.0000
1.0300,1.0373,0.0000,1.4916,0.0000,-0.0739,0.0000,0.0000
1.0400,1.0522,0.0000,1.4907,0.0000,-0.1034,0.0000,0.0000
1.0500,1.0671,0.0000,1.4895,0.0000,-0.1330,0.0000,0.0000
1.0600,1.0820,0.0000,1.4881,0.0000,-0.1625,0.0000,0.0000
1.0700,1.0969,0.0000,1.4863,0.0000,-0.1921,0.0000,0.0000
1.0800,1.1117,0.0000,1.4842,0.0000,-0.2217,0.0000,0.0000
1.0900,1.1266,0.0000,1.4819,0.0000,-0.2512,0.0000,0.0000
1.1000,1.1414,0.0000,1.4792,0.0000,-0.2808,0.0000,0.0000
1.1100,1.1561,0.0000,1.4762,0.0000,-0.3103,0.0000,0.0000
1.1200,1.1709,0.0000,1.4730,0.0000,-0.3399,0.0000,0.0000
1.1300,1.1856,0.0000,1.4694,0.0000,-0.3694,0.0000,0.0000
1.1400,1.2003,0.0000,1.4656,0.0000,-0.3990,0.0000,0.0000
1.1500,1.2149,0.0000,1.4615,0.0000,-0.4285,0.0000,0.0000
1.1600,1.2295,0.0000,1.4570,0.0000,-0.4581,0.0000,0.0000
1.1700,1.2441,0.0000,1.4523,0.0000,-0.4876,0.0000,0.0000
1.1800,1.2586,0.0000,1.4473,0.0000,-0.5172,0.0000,0.0000
1.1900,1.2730,0.0000,1.4420,0.0000,-0.5468,0.0000,0.0000
1.2000,1.2874,0.0000,1.4363,0.0000,-0.5763,0.0000,0.0000
1.2100,1.3017,0.0000,1.4304,0.0000,-0.6059,0.0000,0.0000
1.2200,1.3160,0.0000,1.4242,0.0000,-0.6354,0.0000,0.0000
1.2300,1.3302,0.0000,1.4177,0.0000,-0.6650,0.0000,0.0000
1.2400,1.3444,0.0000,1.4109,0.0000,-0.6945,0.0000,0.0000
1.2500,1.3584,0.0000,1.4038,0.0000,-0.7241,0.0000,0.0000
1.2600,1.3724,0.0000,1.3964,0.0000,-0.7536,0.0000,0.0000
1.2700,1.3864,0.0000,1.3888,0.0000,-0.7832,0.0000,0.0000
1.2800,1.4002,0.0000,1.3808,0.0000,-0.8127,0.0000,0.0000
1.2900,1.4140,0.0000,1.3725,0.0000,-0.8423,0.0000,0.0000
1.3000,1.4277,0.0000,1.3639,0.0000,-0.8719,0.0000,0.0000
1.3100,1.4412,0.0000,1.3551,0.0000,-0.9014,0.0000,0.0000
1.3200,1.4548,0.0000,1.3459,0.0000,-0.9310,0.0000,0.0000
1.3300,1.4682,0.0000,1.3365,0.0000,-0.9605,0.0000,0.0000
1.3400,1.4815,0.0000,1.3267,0.0000,-0.9901,0.0000,0.0000
1.3500,1.4947,0.0000,1.3167,0.0000,-1.0196,0.0000,0.0000
1.3600,1.5078,0.0000,1.3063,0.0000,-1.0492,0.0000,0.0000
1.3700,1.5208,0.0000,1.2957,0.0000,-1.0787,0.0000,0.0000
1.3800,1.5337,0.0000,1.2847,0.0000,-1.1083,0.0000,0.0000
1.3900,1.5465,0.0000,1.2735,0.0000,-1.1378,0.0000,0.0000
